id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39741718,Habitación grande con baño privado en el centro. 2,7087304,Ana,Casco Antiguo,"Encarnación, Regina",37.396,-5.9942,Private room,65,3,158,2025-03-20,2.46,4,42,42,VUT/SE/01733
39745342,"Handmade Home Airport. Wi-Fi, fácil aparcamiento.",2055656,Susana,San Pablo - Santa Justa,San Pablo D y E,37.399208,-5.959951,Entire home/apt,84,1,586,2025-03-20,9.01,1,19,116,VFT/SE/08495
39745551,Torneo Suite Apartment,305485166,Juan José,Casco Antiguo,San Vicente,37.39561,-6.00107,Entire home/apt,115,1,21,2022-05-14,0.32,1,171,0,VFT/SE/05944
39747496,Acogedor apartamento en pleno Triana,14958822,Nacho,Triana,Triana Este,37.381736755371094,-6.005908966064453,Entire home/apt,92,2,32,2025-03-05,0.50,192,123,17,CTC-2019185789
39762181,Fantastic AP in the heart of the city,243308448,Fabio,Casco Antiguo,"Encarnación, Regina",37.39341,-5.99411,Entire home/apt,85,3,192,2025-03-11,2.92,36,40,54,VUT/SE/05597
39797706,Duplex with Terrace in Sevilla,83229389,Javier,Casco Antiguo,San Gil,37.40062038442867,-5.9913743463633535,Entire home/apt,65,60,0,,,1,269,0,Exempt
39815907,Casa Mora Triana. Ático-dúplex con terraza mirador,51077207,Juanma,Triana,Triana Casco Antiguo,37.38571,-6.00429,Entire home/apt,141,2,231,2025-03-21,3.53,1,178,48,VFT/SE/05347
39833232,Casa Din,111577075,Prado,Casco Antiguo,San Bartolomé,37.38882,-5.98647,Private room,50,14,0,,,1,48,0,Exempt
39879925,"Ático céntrico, Terraza climatizada en San Julián",388170687,Bruno,Casco Antiguo,San Julián,37.398292541503906,-5.9853057861328125,Entire home/apt,119,1,70,2024-12-27,1.08,4,46,6,VFT/SE/06385
39880240,Centriko - Ático,305225950,Mauricio,Casco Antiguo,Alfalfa,37.38913,-5.99243,Entire home/apt,110,1,90,2025-03-06,1.64,16,214,14,CTC-2019059289
39900218,Centro Histórico - Patio en Santa Cruz - Tranquilo,24662280,Inmaculada,Casco Antiguo,San Bartolomé,37.38614,-5.98678,Entire home/apt,87,2,43,2025-03-22,0.69,3,308,40,VFT/SE/06946
39904851,A11. 7. Duque Octavio. El hogar.,2204184,Aim,Casco Antiguo,Arenal,37.3883668,-5.9997299,Entire home/apt,101,5,0,,,16,136,0,CTC-2018176863
39909247,Apartamento Familiar San Julian,287871445,Juan,Casco Antiguo,San Julián,37.39919,-5.98543,Entire home/apt,113,2,6,2024-09-18,0.14,62,76,1,VFT/SE/04204
39910056,Macarena flat,306966622,Jorge,Casco Antiguo,San Gil,37.40057,-5.98548,Entire home/apt,94,3,107,2025-03-02,1.65,1,226,23,CTC-2019198392
39943378,The Old Print House - Space Maison Apartments,57717385,Enrique,Casco Antiguo,Santa Cruz,37.38857,-5.99253,Entire home/apt,139,1,156,2025-02-25,2.39,12,0,25,VFT/SE/02178
40047108,Preciosa habitación con terraza ajardinada común 1,7087304,Ana,Casco Antiguo,Feria,37.39738,-5.99408,Private room,70,4,3,2020-01-27,0.05,4,24,0,VFT/SE/01733
40047864,Teodosio  Apartment Sevilla,25643998,Fernando Y Guille,Casco Antiguo,San Vicente,37.39559,-5.99744,Entire home/apt,57,2,6,2025-03-09,0.16,10,177,2,VFT/SE/00813
40075438,Preciosa habitación con terraza ajardinada común 3,7087304,Ana,Casco Antiguo,Feria,37.39627,-5.99228,Private room,62,3,9,2025-03-15,0.27,4,101,2,VFT/SE/01733
40076078,Centriko - A.Quintero (V),305225950,Mauricio,Casco Antiguo,Alfalfa,37.38862,-5.99234,Entire home/apt,160,1,15,2024-02-25,0.32,16,230,0,CTC-2019059289
40077139,"Luminoso apto. Sevilla centro, junto a Las Setas.",121109210,Carmen,Casco Antiguo,"Encarnación, Regina",37.394661,-5.992607,Entire home/apt,78,3,159,2025-03-20,2.46,2,308,29,VFT/SE/06589
40081498,Apartment New Square in front of Cathedral/Giralda,144100195,Francisco Jose,Casco Antiguo,Arenal,37.38659,-5.99663,Entire home/apt,100,2,223,2025-03-25,3.60,3,129,75,VUT/SE/02370
40083797,APARTAMENTO CON TERRAZA Y FREE-PARKING EN SANLUIS,94616359,Ramon,Casco Antiguo,Feria,37.39891,-5.98982,Entire home/apt,,230,0,,,2,85,0,VFT-SE-05478
40099238,Centriko - A.Quintero (II),305225950,Mauricio,Casco Antiguo,Arenal,37.38776,-5.99443,Entire home/apt,109,1,247,2025-03-16,5.10,16,222,62,CTC-2019059289
